id,name,country,pass,sot,ts,x,y,shirt,side
436509,Bilal Bayazit,1,65,0,0,12,50,25,away
214089,Onur Bulut,1,73,0,1,38,13,38,away
47090,Dimitrios Kolovetsios,9,79,0,0,32,64,4,away
383826,Majid Hosseini,68,91,0,0,32,36,5,away
71827,Lionel Carole,3,80,0,0,38,87,21,away
269082,Ramazan Civelek,1,100,0,0,58,74,28,away
291004,Bernard Mensah,63,92,0,0,58,26,43,away
286612,Gustavo Campanharo,36,86,0,0,56,50,88,away
253873,Miguel Cardoso,13,64,1,1,85,26,7,away
30346,Mario Gavranovic,16,73,1,1,90,50,19,away
253826,Mame Thiam,34,88,0,1,85,74,27,away
573620,Yaw Ackah,63,95,0,0,0,0,89,away
355956,Olivier Kemen,3,83,0,0,0,0,10,away
246497,Gökhan Sazdağı,1,43,0,0,0,0,11,away
256980,Carlos Mane,13,67,0,0,0,0,20,away
22639,İlhan Parlak,1,100,0,1,0,0,23,away
